BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
4000,BPR,2473286421.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64994487,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473286155.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64974902,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.28,0.58,0.14
4000,BPR,2473285596.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64938615,11.12.2018,Dec,11-12-18,11-12-18,1221001,2019,1.08,5,0 to 10,0.24,0.54,0.21
4000,BPR,2473286514.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,63000849,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.3,0.59,0.11
4000,BPR,2473285830.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64957278,17.12.2018,Dec,17-12-18,17-12-18,1221001,2019,0.0,0,No Delay,0.53,0.4,0.07
4000,BPR,2473285889.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64960978,18.12.2018,Dec,18-12-18,18-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.07
4000,BPR,2473285598.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.11,2,Z001,Cash,64938642,11.12.2018,Dec,11-12-18,11-12-18,1221001,2019,1.08,5,0 to 10,0.23,0.54,0.22
4000,BPR,2473286548.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,63002165,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.3,0.59,0.11
4000,BPR,2473286030.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64967408,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.6,0.14
4000,BPR,2473286422.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64994536,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473285888.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64960973,18.12.2018,Dec,18-12-18,18-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.07
4000,BPR,2473286163.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64975255,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.28,0.58,0.14
4000,BPR,2473285886.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64960897,18.12.2018,Dec,18-12-18,18-12-18,1221001,2019,0.0,0,No Delay,0.56,0.36,0.07
4000,BPR,2473286049.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64969552,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,1.39,7,0 to 10,0.26,0.6,0.14
4000,BPR,2473286167.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64975384,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.28,0.58,0.14
4000,BPR,2473286153.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64974793,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.28,0.58,0.14
4000,BPR,2473285566.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64935633,11.12.2018,Dec,11-12-18,11-12-18,1221001,2019,1.08,5,0 to 10,0.24,0.54,0.21
4000,BPR,2473286522.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,63000900,30.12.2018,Dec,30-12-18,30-12-18,1221001,2019,1.29,7,0 to 10,0.3,0.59,0.11
4000,BPR,2473286413.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,1,Z001,Cash,64994183,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
