BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
1000,BPR,2432360670.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.11,0,Z001,Cash,64973047,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.0,0,No Delay,0.71,0.25,0.04
1000,BPR,2432360680.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.12,0,Z001,Cash,64973694,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.0,0,No Delay,0.74,0.21,0.05
1000,BPR,2432360726.0,925093,PSPL STEEL PROCESSORS PVT LTD,East,CALS,RV,0.11,0,Z001,Cash,64980323,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.6,0.17,0.23
9600,BPR,2146128065.0,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.14,3,ZZ38,Credit,64986351,26.12.2018,Dec,26-12-18,30-12-18,1221001,2019,2.33,14,0 to 10,0.25,0.59,0.15
9600,BPR,2146127522.0,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.16,5,ZZ38,Credit,64975227,23.12.2018,Dec,23-12-18,27-12-18,1221001,2019,2.17,13,0 to 10,0.33,0.6,0.07
9600,BPR,2146127468.0,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ38,Credit,64974153,22.12.2018,Dec,22-12-18,26-12-18,1221001,2019,2.01,12,0 to 10,0.32,0.61,0.07
4000,BPR,2421247388.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.17,0,Z001,Cash,64967056,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.78,0.2,0.02
4000,BPR,2483313145.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.01,0,Z001,Cash,64968728,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.82,0.17,0.01
4000,BPR,2483313142.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.15,0,Z001,Cash,64968682,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.76,0.2,0.04
4000,BPR,2483313144.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.01,0,Z001,Cash,64968726,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.82,0.17,0.01
4000,BPR,2483313143.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.15,0,Z001,Cash,64968711,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.76,0.2,0.04
4000,BPR,2483313232.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.12,0,Z001,Cash,64973682,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.0,0,No Delay,0.78,0.21,0.01
4000,BPR,2483313247.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.13,0,Z001,Cash,64975621,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.0,0,No Delay,0.78,0.17,0.04
4000,BPR,2421247425.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.13,0,Z001,Cash,64975854,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.0,0,No Delay,0.81,0.16,0.03
4000,BPR,2483313405.0,923669,SAVITRIPRAKASH PROCESSING WORK,West,NPUR,RV,0.09,5,Z001,Cash,64986110,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.0,0,No Delay,0.74,0.23,0.04
2000,BPR,2412163029.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,-3,ZZ42,Credit,64974542,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.21,0.44,0.34
2000,BPR,2412163030.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.06,0,ZZ42,Credit,64974543,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.2,0.42,0.38
2000,BPR,2412163031.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.07,19,ZZ42,Credit,64974544,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.2,0.43,0.37
2000,BPR,2412163052.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974566,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.21,0.44,0.34
2000,BPR,2412163034.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974547,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.21,0.44,0.34
2000,BPR,2412163032.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974545,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.21,0.44,0.34
