BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
9600,BPR,2146127357,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.17,0,ZZ09,Credit,64971159,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.96,0.02,0.02
2000,BPR,2412162922,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.17,0,ZZ20,Credit,64971465,21.12.2018,Dec,21-12-18,02-01-19,1221001,2019,2.64,20,No Delay,0.72,0.03,0.25
1000,BPR,2412162968,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.11,0,ZZ09,Credit,64974471,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.99,0.0,0.01
1000,BPR,2412162960,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.14,0,ZZ09,Credit,64974463,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.9,0.02,0.09
1000,BPR,2412163006,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.11,0,ZZ09,Credit,64974510,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.99,0.0,0.01
1000,BPR,2412162972,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.11,0,ZZ09,Credit,64974475,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.99,0.0,0.01
1000,BPR,2412162949,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.11,0,ZZ09,Credit,64974451,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.99,0.0,0.01
1000,BPR,2412162955,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.14,0,ZZ09,Credit,64974457,22.12.2018,Dec,22-12-18,31-12-18,1221001,2019,1.94,13,No Delay,0.9,0.02,0.09
1000,BPR,2412164587,102000,M/S.DHARAMVIR & BROTHERS,North,LUDH,RV,0.11,0,ZZ09,Credit,64987334,26.12.2018,Dec,26-12-18,04-01-19,1221001,2019,2.32,17,No Delay,0.99,0.01,0.0
3000,BPR,2485216874,163486,Rohit & Co.,West,BOMB,RV,0.12,20,ZZ41,Credit,63004451,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,15.4,116,Low Delay,0.32,0.61,0.07
