,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
4680,1298034,1,0,0,1,219,2,1,6,E32
4681,1298035,1,1,1,1,822,2,1,21,PLAINWOOD
4682,1298038,1,0,0,1,185,9,8,6,E18
4683,1298039,1,0,0,1,317,9,1,6,E32
4684,1298040,1,1,1,1,776,0,7,7,PLAINWOOD
4685,1298042,1,0,0,1,12,0,7,7,E18
4686,1298046,1,0,0,1,328,0,7,6,E32
4687,1298047,1,0,0,1,69,0,1,6,E18
4688,1298048,1,0,0,1,906,0,1,6,E18
4689,1298052,1,0,0,1,786,0,1,12,E32
4690,1298054,1,0,0,1,786,0,7,12,E32
4691,1298055,1,0,0,1,786,0,7,12,E02
4692,1298056,1,0,0,1,786,0,7,12,E02
4693,1298058,1,0,0,1,185,0,1,12,E32
4694,1298059,1,0,0,1,185,0,1,12,E01
4695,1298060,1,0,0,1,185,0,1,12,E01
4696,1298061,1,0,0,1,185,0,7,12,E05
4697,1298065,1,0,0,1,776,0,1,12,E05
4698,1298066,1,0,0,1,776,0,1,12,E05
4699,1298067,1,0,0,1,175,0,7,12,E02
4700,1298068,1,0,0,1,175,0,7,12,E02
4701,1298070,1,1,1,0,175,0,7,6,PLAINWOOD
4702,1298071,1,0,0,0,262,0,1,6,PLAINWOOD
4703,1298072,1,0,0,0,36,0,1,6,PLAINWOOD
4704,1298086,1,0,0,1,185,9,7,12,E01
4705,1298091,1,0,0,1,506,0,3,9,PLAINWOOD
4706,1298092,1,0,0,1,175,7,1,12,E01
4707,1298093,1,0,0,1,185,2,1,12,E01
4708,1298094,1,0,0,1,317,0,8,12,E02
4709,1298095,1,0,0,1,185,2,1,12,E01
4710,1298099,1,1,1,1,171,0,7,6,PLAINWOOD
4711,1298100,1,0,0,1,328,8,1,12,E18
4712,1298101,1,0,0,1,185,8,1,12,E18
4713,1298102,1,0,0,1,564,0,25,12,PLAINSTEEL
4714,1298103,1,0,0,1,564,0,25,12,PLAINSTEEL
4715,1298104,1,0,0,1,175,8,8,12,E18
4716,1298105,1,0,0,1,37,0,30,6,PLAINSTEEL
4717,1298106,1,0,0,1,131,0,1,6,E18
4718,1298108,1,0,0,1,175,0,7,7,E05
4719,1298109,1,0,0,1,776,0,1,7,PLAINWOOD
4720,1298110,1,0,0,1,765,2,1,13,E01
4721,1298114,1,0,0,1,786,0,30,12,PLAINSTEEL
4722,1298218,1,0,0,0,641,2,7,6,PLAINWOOD
4723,1298223,1,1,1,1,589,0,0,6,PLAINWOOD
4724,1298224,1,1,1,1,589,0,0,6,PLAINWOOD
4725,1298225,1,1,1,1,590,0,0,6,PLAINWOOD
